id,name,standard
1015,B01015,STANDARD1
1016,B01016,STANDARD4
1017,B01017,STANDARD1
1018,B01018,STANDARD5
1019,B01019,STANDARD2
1020,B01020,STANDARD1
1021,B01021,STANDARD2
1022,B01022,STANDARD1
1023,B01023,STANDARD2
1024,B01024,STANDARD4
1025,B01025,STANDARD4
1026,B01026,STANDARD2
1027,B01027,STANDARD1
1028,B01028,STANDARD3
1029,B01029,STANDARD1
1030,B01030,STANDARD4
1031,B01031,STANDARD2
1032,B01032,STANDARD3
1033,B01033,STANDARD2
1034,B01034,STANDARD1
1035,B01035,STANDARD1
1036,B01036,STANDARD1
1037,B01037,STANDARD1
1038,B01038,STANDARD1
1039,B01039,STANDARD1
1040,B01040,STANDARD3
1041,B01041,STANDARD1
1042,B01042,STANDARD1
1043,B01043,STANDARD1
1044,B01044,STANDARD1
1045,B01045,STANDARD1
1046,B01046,STANDARD1
1047,B01047,STANDARD1
1048,B01048,STANDARD1
1049,B01049,STANDARD1
1050,B01050,STANDARD1
1051,B01051,STANDARD1
1052,B01052,STANDARD1
1053,B01053,STANDARD1
1054,B01054,STANDARD1
1055,B01055,STANDARD1
1056,B01056,STANDARD1
1057,B01057,STANDARD1
1058,B01058,STANDARD1
1059,B01059,STANDARD1
1060,B01060,STANDARD1
1061,B01061,STANDARD1
1062,B01062,STANDARD1
1063,B01063,STANDARD1
1064,B01064,STANDARD1
1065,B01065,STANDARD1
1066,B01066,STANDARD1
1067,B01067,STANDARD2
1068,B01068,STANDARD1
